Administradora,Anno,Departamento,Conteo de Administradoras,Conteo de Prestadores,Costo Procedimiento,Neto A Pagar - Consulta,Número de Atenciones,Número Personas Atendidas,Valor Consulta,Valor Cuota Moderadora - Consulta
EPS016 - COOMEVA,2011,08 - Atlántico,1,32,73.910,18.787.740,1.469,375,22.796.888,4.046.800
EPS014 - HUMANA VIVIR,2011,08 - Atlántico,1,1,,,1,1,,
EPS013 - SALUDCOOP,2011,08 - Atlántico,1,30,76.758.471,14.220.630,4.464,486,14.220.630,
EPS010 - EPS SURA,2011,08 - Atlántico,1,23,7.548.804,4.311.791,602,127,5.001.599,412.500
EPS005 - SANITAS,2011,08 - Atlántico,1,3,,,24,16,79.300,79.300
EPS003 - CAFESALUD,2011,08 - Atlántico,1,7,8.441.682,1.236.960,446,38,1.236.960,
EPS002 - SALUD TOTAL,2011,08 - Atlántico,1,9,,4.430.336,375,241,4.430.336,
EPS001 - ALIANSALUD,2011,08 - Atlántico,1,7,,54.440,153,44,54.440,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2011,08 - Atlántico,1,3,,160.840,4,3,160.840,
EMP017 - EMP COLMENA S.A,2011,08 - Atlántico,1,16,680.000,3.135.800,128,60,3.132.700,
EMP002 - EMP CAFESALUD,2011,08 - Atlántico,1,2,121.550,49.900,17,2,90.500,40.600
CCF015 - COMFACOR,2011,08 - Atlántico,1,5,,118.801,14,11,118.800,
0 - NO DEFINIDO,2011,08 - Atlántico,1,1,,2.112.640,88,21,2.112.640,
ESS207 - MUTUAL SER,2011,-1 - NO DEFINIDO,1,5,129.000,203.092,27,8,203.092,
ESS133 - COMPARTA,2011,-1 - NO DEFINIDO,1,2,1.763.100,64.750,4,2,64.750,
EPSS34 - CAPITAL SALUD,2011,-1 - NO DEFINIDO,1,2,,92.630,3,3,92.630,
EPSS14 - HUMANA VIVIR,2011,-1 - NO DEFINIDO,1,3,,86.500,21,13,86.500,
EPS039 - GOLDEN GROUP,2011,-1 - NO DEFINIDO,1,2,,34.261,2,2,44.661,10.400
EPS037 - NUEVA EPS,2011,-1 - NO DEFINIDO,1,45,428.528,13.203.200,1.273,1.074,13.215.800,12.600
EPS034 - SALUDCOLOMBIA,2011,-1 - NO DEFINIDO,1,4,,127.482,16,6,131.682,4.200
EPS033 - SALUDVIDA,2011,-1 - NO DEFINIDO,1,4,,122.852,7,6,127.052,4.200
EPS031 - SELVASALUD,2011,-1 - NO DEFINIDO,1,14,,7.232.222,279,106,7.236.422,
EPS020 - CAPRECOM,2011,-1 - NO DEFINIDO,1,3,,79.962,4,3,79.962,
EPS018 - SOS,2011,-1 - NO DEFINIDO,1,14,2.007.400,6.125.060,23,18,6.125.060,209.000
EPS012 - COMFENALCO VALLE,2011,-1 - NO DEFINIDO,1,2,,87.478,5,3,87.478,
EPS009 - COMFENALCO ANTIOQUIA,2011,-1 - NO DEFINIDO,1,5,1.148.096,588.770,35,14,597.170,8.400
EPS008 - COMPENSAR,2011,-1 - NO DEFINIDO,1,6,,941.896,60,40,941.896,
EPS005 - SANITAS,2011,-1 - NO DEFINIDO,1,10,,111.579,115,89,263.079,151.500
EPS001 - ALIANSALUD,2011,-1 - NO DEFINIDO,1,7,,213.580,42,28,213.580,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2011,-1 - NO DEFINIDO,1,5,,297.670,6,4,297.670,
EMP002 - EMP CAFESALUD,2011,-1 - NO DEFINIDO,1,2,210.094,21.300,2,2,41.600,20.300
CCF101 - COLSUBSIDIO,2011,-1 - NO DEFINIDO,1,24,,4.243.645,413,286,3.782.845,
CCF053 - COMFACUNDI,2011,-1 - NO DEFINIDO,1,22,65.909.000,51.049.639,362,228,52.148.139,1.098.500
85000 - DIRECCION DEPARTAMENTAL DE SALUD DE CASA,2011,-1 - NO DEFINIDO,1,2,736.252,,3,2,,
41000 - DIRECCION DEPARTAMENTAL DE SALUD DE HUIL,2011,-1 - NO DEFINIDO,1,1,,,1,1,,
19000 - DIRECCION DEPARTAMENTAL DE SALUD DE CAUC,2011,-1 - NO DEFINIDO,1,4,,513.400,18,13,514.900,1.500
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2011,-1 - NO DEFINIDO,1,22,8.250.600,208.557.457,7.486,2.247,224.906.702,16.349.245
RES002 - ECOPETROL,2011,"11 - Bogotá, D.C.",1,42,484.000,8.872.815,286,126,8.872.815,
MIN001 - FONDO DE SOLIDARIDAD Y GARANTIA,2011,"11 - Bogotá, D.C.",1,1,,30.900,1,1,30.900,
ESS133 - COMPARTA,2011,"11 - Bogotá, D.C.",1,2,,83.400,3,2,83.400,
ESS091 -  ECOOPSOS,2011,"11 - Bogotá, D.C.",1,14,,631.381,200,126,631.381,
ESS062 - ASMET SALUD,2011,"11 - Bogotá, D.C.",1,1,,38.300,1,1,38.300,
EPSS34 - CAPITAL SALUD,2011,"11 - Bogotá, D.C.",1,20,4.231.500,8.028.452,768,231,8.044.622,16.170
EPSS14 - HUMANA VIVIR,2011,"11 - Bogotá, D.C.",1,35,2.470.535,7.241.284,883,455,7.255.026,13.742
EPSS02 - SALUD TOTAL,2011,"11 - Bogotá, D.C.",1,8,,614.195,76,66,623.735,9.540
EPS039 - GOLDEN GROUP,2011,"11 - Bogotá, D.C.",1,12,,515.772,26,23,568.172,52.400
EPS037 - NUEVA EPS,2011,"11 - Bogotá, D.C.",1,54,68.175.406,58.052.263,8.708,2.331,59.028.263,941.000
EPS033 - SALUDVIDA,2011,"11 - Bogotá, D.C.",1,1,,,5,4,,16.700
EPS030 - CONDOR,2011,"11 - Bogotá, D.C.",1,9,,505.936,29,25,505.936,
EPS026 - SOLSALUD,2011,"11 - Bogotá, D.C.",1,8,,305.540,17,15,305.540,
EPS023 - CRUZ BLANCA,2011,"11 - Bogotá, D.C.",1,56,268.128.300,30.082.340,10.402,1.323,30.082.340,
EPS020 - CAPRECOM,2011,"11 - Bogotá, D.C.",1,9,65.470,176.726,13,11,176.726,
EPS018 - SOS,2011,"11 - Bogotá, D.C.",1,2,,232.871,10,4,243.371,10.500
EPS017 - FAMISANAR,2011,"11 - Bogotá, D.C.",1,124,69.943.381,335.426.876,15.444,3.635,365.601.630,30.174.754
EPS016 - COOMEVA,2011,"11 - Bogotá, D.C.",1,46,21.509.569,7.828.932,2.914,249,9.992.802,2.382.740
EPS015 - COLPATRIA,2011,"11 - Bogotá, D.C.",1,1,,,226,78,,
EPS014 - HUMANA VIVIR,2011,"11 - Bogotá, D.C.",1,16,,1.444.689,165,78,1.461.489,16.800
EPS013 - SALUDCOOP,2011,"11 - Bogotá, D.C.",1,127,461.978.844,53.256.297,19.426,2.642,53.256.297,
EPS010 - EPS SURA,2011,"11 - Bogotá, D.C.",1,58,42.081.829,37.122.197,4.865,509,37.275.463,5.202.100
EPS008 - COMPENSAR,2011,"11 - Bogotá, D.C.",1,2,,107.819,5,2,122.619,14.800
EPS005 - SANITAS,2011,"11 - Bogotá, D.C.",1,41,1.016.881,6.887.449,2.667,1.021,9.512.349,2.760.100
EPS003 - CAFESALUD,2011,"11 - Bogotá, D.C.",1,70,287.715.125,28.727.362,11.411,1.487,28.727.362,
EPS002 - SALUD TOTAL,2011,"11 - Bogotá, D.C.",1,46,682.400,34.930.651,3.049,1.436,34.946.121,15.470
EPS001 - ALIANSALUD,2011,"11 - Bogotá, D.C.",1,34,628.331,15.888.980,1.940,602,15.905.980,25.000
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2011,"11 - Bogotá, D.C.",1,51,3.452.937,85.840.040,2.010,1.259,85.840.040,
EMP017 - EMP COLMENA S.A,2011,"11 - Bogotá, D.C.",1,116,1.434.516,50.415.400,2.424,979,50.570.800,
EMP015 - EMP MEDISANITAS S. A.,2011,"11 - Bogotá, D.C.",1,8,,1.170.440,33,23,1.170.440,
EMP002 - EMP CAFESALUD,2011,"11 - Bogotá, D.C.",1,42,9.818.422,8.435.342,704,273,16.233.742,7.798.400
EAS027 - FERROCARRILES NALES,2011,"11 - Bogotá, D.C.",1,7,,3.188.186,131,71,3.188.186,
CCF101 - COLSUBSIDIO,2011,"11 - Bogotá, D.C.",1,26,,3.129.267,155,116,1.970.967,
CCF053 - COMFACUNDI,2011,"11 - Bogotá, D.C.",1,3,,64.000,4,4,64.000,
73000 - DIRECCION DEPARTAMENTAL DE SALUD DE TOLI,2011,"11 - Bogotá, D.C.",1,1,,35.000,1,1,35.000,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2011,"11 - Bogotá, D.C.",1,18,4.136.140,68.344.206,2.270,669,72.834.598,4.490.392
0 - NO DEFINIDO,2011,"11 - Bogotá, D.C.",1,1,,,1,1,,
RES002 - ECOPETROL,2011,13 - Bolívar,1,15,567.800,3.944.307,70,19,3.944.307,
ESS207 - MUTUAL SER,2011,13 - Bolívar,1,44,5.215.919,7.690.991,547,362,7.690.991,
ESS133 - COMPARTA,2011,13 - Bolívar,1,11,409.953,1.364.971,92,46,1.366.409,1.438
ESS076 - AMBUQ,2011,13 - Bolívar,1,4,,94.200,5,5,94.200,
ESS024 - COOSALUD E.S.S.,2011,13 - Bolívar,1,16,3.991.368,7.973.680,377,202,8.338.480,
EPSS33 - SALUDVIDA,2011,13 - Bolívar,1,1,32.406,,2,1,,
EPS039 - GOLDEN GROUP,2011,13 - Bolívar,1,1,,33.550,3,3,33.550,
EPS037 - NUEVA EPS,2011,13 - Bolívar,1,7,1.635.116,7.738.708,659,235,7.738.708,
EPS033 - SALUDVIDA,2011,13 - Bolívar,1,2,,52.300,2,2,52.300,
EPS026 - SOLSALUD,2011,13 - Bolívar,1,7,,443.039,25,23,445.139,2.100
EPS020 - CAPRECOM,2011,13 - Bolívar,1,5,484.480,322.753,68,32,322.753,
EPS017 - FAMISANAR,2011,13 - Bolívar,1,8,515.464,394.723,63,13,398.923,4.200
EPS016 - COOMEVA,2011,13 - Bolívar,1,20,105.000,3.974.042,351,112,5.107.842,1.159.800
EPS014 - HUMANA VIVIR,2011,13 - Bolívar,1,2,,63.980,3,2,63.980,
EPS013 - SALUDCOOP,2011,13 - Bolívar,1,19,13.091.914,3.071.720,759,167,3.071.720,
EPS010 - EPS SURA,2011,13 - Bolívar,1,11,2.576.704,1.090.825,175,26,1.215.421,122.200
EPS005 - SANITAS,2011,13 - Bolívar,1,1,,363.200,74,20,363.200,
EPS003 - CAFESALUD,2011,13 - Bolívar,1,2,649.781,200.788,50,9,200.788,
EPS002 - SALUD TOTAL,2011,13 - Bolívar,1,11,1.352.901,7.292.435,487,217,7.294.535,2.100
EPS001 - ALIANSALUD,2011,13 - Bolívar,1,5,,104.584,77,22,104.584,
EMP017 - EMP COLMENA S.A,2011,13 - Bolívar,1,8,,193.935,11,10,178.735,
EMP002 - EMP CAFESALUD,2011,13 - Bolívar,1,5,370.112,65.100,26,7,77.700,12.600
13000 - DIRECCIÓN DEPARTAMENTAL DE SALUD DE BOLÍ,2011,13 - Bolívar,1,3,484.500,164.840,38,14,170.100,
ESS133 - COMPARTA,2011,15 - Boyacá,1,60,2.117.100,29.754.523,1.394,693,27.298.428,16.975
ESS091 -  ECOOPSOS,2011,15 - Boyacá,1,7,614.546,960.036,92,19,960.036,
ESS024 - COOSALUD E.S.S.,2011,15 - Boyacá,1,12,9.500,809.380,40,25,809.380,
EPSS14 - HUMANA VIVIR,2011,15 - Boyacá,1,1,114.015,,16,3,,
EPS037 - NUEVA EPS,2011,15 - Boyacá,1,11,3.579.405,7.489.443,775,209,7.565.343,54.200
EPS033 - SALUDVIDA,2011,15 - Boyacá,1,8,,635.430,31,19,642.780,7.350
EPS030 - CONDOR,2011,15 - Boyacá,1,2,,70.610,3,2,73.700,3.090
EPS026 - SOLSALUD,2011,15 - Boyacá,1,5,,121.975,6,6,124.075,2.100
EPS020 - CAPRECOM,2011,15 - Boyacá,1,23,837.495,1.545.595,142,76,1.545.595,2.781
EPS018 - SOS,2011,15 - Boyacá,1,1,,114.770,2,1,197.770,83.000
EPS017 - FAMISANAR,2011,15 - Boyacá,1,34,3.476.546,13.987.945,387,74,14.127.845,139.900
EPS016 - COOMEVA,2011,15 - Boyacá,1,16,3.138.109,4.477.472,749,93,5.118.444,926.000
EPS014 - HUMANA VIVIR,2011,15 - Boyacá,1,6,,862.658,79,35,1.077.282,214.624
EPS013 - SALUDCOOP,2011,15 - Boyacá,1,41,146.056.805,27.565.198,7.524,1.046,27.565.198,
EPS005 - SANITAS,2011,15 - Boyacá,1,3,,356.000,24,18,356.000,
EPS003 - CAFESALUD,2011,15 - Boyacá,1,2,22.500,,2,2,,
EPS002 - SALUD TOTAL,2011,15 - Boyacá,1,3,64.579,90.606,9,3,134.006,43.400
EPS001 - ALIANSALUD,2011,15 - Boyacá,1,2,,22.000,2,2,22.000,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2011,15 - Boyacá,1,1,,43.160,1,1,43.160,
EMP017 - EMP COLMENA S.A,2011,15 - Boyacá,1,6,,149.800,8,5,149.800,
EMP002 - EMP CAFESALUD,2011,15 - Boyacá,1,1,29.588,,1,1,,
EAS027 - FERROCARRILES NALES,2011,15 - Boyacá,1,1,,16.397,1,1,16.397,
CCF024 - COMFAMILIAR HUILA,2011,15 - Boyacá,1,47,430.720,4.840.255,392,210,4.840.255,
CCF009 - COMFABOY,2011,15 - Boyacá,1,51,9.385.982,10.340.046,621,306,10.342.765,2.719
15000 - DIRECCION DEPARTAMENTAL DE SALUD DE BOYA,2011,15 - Boyacá,1,23,18.362.145,38.736.830,1.586,391,36.693.560,2.043.270
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2011,15 - Boyacá,1,1,,111.240,4,1,123.600,12.360
05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU,2011,15 - Boyacá,1,1,231.900,25.000,13,2,26.300,1.300
RES002 - ECOPETROL,2011,17 - Caldas,1,3,,215.114,5,2,215.114,
ESS062 - ASMET SALUD,2011,17 - Caldas,1,19,98.100,5.862.740,297,170,5.862.740,
EPSS14 - HUMANA VIVIR,2011,17 - Caldas,1,2,12.580,18.500,2,2,20.600,2.100
EPSI05 - MALLAMAS,2011,17 - Caldas,1,3,,356.300,19,16,356.300,
EPS037 - NUEVA EPS,2011,17 - Caldas,1,24,294.235,10.329.347,547,254,10.785.484,451.197
EPS033 - SALUDVIDA,2011,17 - Caldas,1,4,,1.124.270,55,27,1.124.270,
EPS030 - CONDOR,2011,17 - Caldas,1,2,,359.400,7,6,359.400,
EPS026 - SOLSALUD,2011,17 - Caldas,1,1,,69.992,3,3,69.992,
EPS023 - CRUZ BLANCA,2011,17 - Caldas,1,1,11.900,,1,1,,
EPS020 - CAPRECOM,2011,17 - Caldas,1,16,916.766,1.819.407,133,59,1.819.407,
EPS018 - SOS,2011,17 - Caldas,1,9,,843.744,28,18,898.644,54.900
EPS017 - FAMISANAR,2011,17 - Caldas,1,1,286.600,,2,1,,
EPS016 - COOMEVA,2011,17 - Caldas,1,26,10.362.246,11.097.946,1.665,160,11.558.926,1.010.400
EPS014 - HUMANA VIVIR,2011,17 - Caldas,1,2,,209.760,9,6,228.660,18.900
EPS013 - SALUDCOOP,2011,17 - Caldas,1,21,33.598.237,5.288.692,1.523,256,5.288.692,
EPS010 - EPS SURA,2011,17 - Caldas,1,12,7.580.329,5.886.569,633,62,5.208.059,545.200
EPS005 - SANITAS,2011,17 - Caldas,1,3,,2.652.300,145,50,2.652.300,
EPS003 - CAFESALUD,2011,17 - Caldas,1,12,12.473.580,1.510.452,614,78,1.510.452,
EPS002 - SALUD TOTAL,2011,17 - Caldas,1,9,,13.681.618,1.090,375,13.681.618,
EPS001 - ALIANSALUD,2011,17 - Caldas,1,3,,247.200,17,5,173.600,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2011,17 - Caldas,1,4,38.220,4.921.050,13,11,4.921.050,
EMP017 - EMP COLMENA S.A,2011,17 - Caldas,1,5,,833.100,25,13,735.900,
EMP002 - EMP CAFESALUD,2011,17 - Caldas,1,6,2.148.424,146.550,300,17,224.250,77.700
ESS062 - ASMET SALUD,2011,18 - Caquetá,1,27,45.603,8.030.118,412,266,8.032.218,
EPS037 - NUEVA EPS,2011,18 - Caquetá,1,2,,52.198,6,4,81.931,16.600
EPS031 - SELVASALUD,2011,18 - Caquetá,1,1,,53.200,2,1,53.200,
EPS020 - CAPRECOM,2011,18 - Caquetá,1,6,15.200,185.400,12,8,185.400,
EPS016 - COOMEVA,2011,18 - Caquetá,1,9,540.000,777.820,61,22,603.940,178.200
EPS013 - SALUDCOOP,2011,18 - Caquetá,1,6,5.930.071,1.273.172,269,56,1.273.172,
MIN001 - FONDO DE SOLIDARIDAD Y GARANTIA,2011,19 - Cauca,1,1,362.500,108.300,10,1,36.100,
ESS118 - EMSSANAR E.S.S.,2011,19 - Cauca,1,11,5.997.057,2.806.775,172,38,2.806.775,
ESS062 - ASMET SALUD,2011,19 - Cauca,1,47,40.398,38.370.345,1.890,1.168,38.370.345,
ESS024 - COOSALUD E.S.S.,2011,19 - Cauca,1,1,,70.400,2,1,70.400,
EPSI05 - MALLAMAS,2011,19 - Cauca,1,11,,3.040.120,145,73,3.040.120,
EPSI03 -  AIC-EPSI-I,2011,19 - Cauca,1,36,598.160,18.909.132,954,484,18.909.132,
EPS037 - NUEVA EPS,2011,19 - Cauca,1,11,1.503.042,9.315.297,1.063,279,9.487.297,172.000
EPS034 - SALUDCOLOMBIA,2011,19 - Cauca,1,2,,47.024,2,2,47.024,
EPS033 - SALUDVIDA,2011,19 - Cauca,1,2,,141.800,8,8,141.800,
EPS031 - SELVASALUD,2011,19 - Cauca,1,8,,6.411.800,300,80,6.411.800,
EPS030 - CONDOR,2011,19 - Cauca,1,3,,1.063.642,58,34,1.063.642,
EPS020 - CAPRECOM,2011,19 - Cauca,1,8,65.480,1.684.560,107,54,1.684.560,
EPS018 - SOS,2011,19 - Cauca,1,9,1.235.872,2.623.178,101,37,2.677.378,54.200
EPS017 - FAMISANAR,2011,19 - Cauca,1,6,488.610,341.060,21,3,351.560,10.500
EPS016 - COOMEVA,2011,19 - Cauca,1,13,2.124.656,3.152.086,217,62,3.616.286,464.200
EPS013 - SALUDCOOP,2011,19 - Cauca,1,17,26.652.061,6.084.266,1.562,234,6.084.266,
EPS005 - SANITAS,2011,19 - Cauca,1,3,,6.020.760,50,18,6.020.760,
EPS003 - CAFESALUD,2011,19 - Cauca,1,2,140.400,32.800,17,2,32.800,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2011,19 - Cauca,1,1,,88.900,2,1,88.900,
52000 - DIRECCION DEPARTAMENTAL DE SALUD DE NARI,2011,19 - Cauca,1,1,,,1,1,,
19000 - DIRECCION DEPARTAMENTAL DE SALUD DE CAUC,2011,19 - Cauca,1,3,1.246.500,2.016.600,70,42,2.019.600,3.000
RES002 - ECOPETROL,2011,20 - Cesar,1,1,,76.411,3,1,76.411,
ESS133 - COMPARTA,2011,20 - Cesar,1,7,,645.732,28,21,645.732,
ESS076 - AMBUQ,2011,20 - Cesar,1,11,,1.780.800,85,44,1.780.800,
ESS062 - ASMET SALUD,2011,20 - Cesar,1,15,1.139.850,1.138.600,76,47,1.138.600,
ESS024 - COOSALUD E.S.S.,2011,20 - Cesar,1,6,,1.003.400,70,63,1.003.400,
EPSS14 - HUMANA VIVIR,2011,20 - Cesar,1,1,191.460,,2,1,,
EPS037 - NUEVA EPS,2011,20 - Cesar,1,6,404.624,1.429.998,213,63,1.446.098,16.100
EPS033 - SALUDVIDA,2011,20 - Cesar,1,4,,540.500,22,17,544.600,4.100
EPS026 - SOLSALUD,2011,20 - Cesar,1,11,,673.237,40,35,683.739,10.502
EPS020 - CAPRECOM,2011,20 - Cesar,1,1,,30.900,1,1,30.900,
EPS017 - FAMISANAR,2011,20 - Cesar,1,6,2.427.695,700.215,152,22,825.615,125.400
EPS016 - COOMEVA,2011,20 - Cesar,1,26,7.393.141,13.301.266,1.524,422,15.000.476,4.048.900
EPS013 - SALUDCOOP,2011,20 - Cesar,1,15,9.818.050,1.625.456,464,123,1.625.456,
EPS005 - SANITAS,2011,20 - Cesar,1,1,,21.240,1,1,21.240,
EPS003 - CAFESALUD,2011,20 - Cesar,1,1,104.800,49.200,9,4,49.200,
EPS002 - SALUD TOTAL,2011,20 - Cesar,1,10,1.410.255,1.830.750,191,115,1.832.850,2.100
EMP017 - EMP COLMENA S.A,2011,20 - Cesar,1,1,,88.600,2,1,89.500,
EMP002 - EMP CAFESALUD,2011,20 - Cesar,1,1,,29.000,1,1,49.300,20.300
EAS027 - FERROCARRILES NALES,2011,20 - Cesar,1,1,,,1,1,,
CCF015 - COMFACOR,2011,20 - Cesar,1,2,,110.800,5,5,110.800,
RES002 - ECOPETROL,2011,23 - Córdoba,1,2,,84.816,3,1,84.816,
ESS207 - MUTUAL SER,2011,23 - Córdoba,1,24,42.000,7.750.175,380,226,7.750.175,
ESS133 - COMPARTA,2011,23 - Córdoba,1,19,,4.042.528,208,164,4.042.528,
ESS024 - COOSALUD E.S.S.,2011,23 - Córdoba,1,2,,297.600,13,12,297.600,
ESS002 - EMDISALUD,2011,23 - Córdoba,1,1,,1.263.200,61,7,1.263.200,
EPSI02 - MANEXKA,2011,23 - Córdoba,1,6,,630.388,32,27,630.388,
EPS037 - NUEVA EPS,2011,23 - Córdoba,1,3,323.826,851.825,97,50,851.825,
EPS034 - SALUDCOLOMBIA,2011,23 - Córdoba,1,1,,6.655,1,1,8.755,2.100
EPS033 - SALUDVIDA,2011,23 - Córdoba,1,9,,717.751,32,25,719.851,2.100
EPS031 - SELVASALUD,2011,23 - Córdoba,1,1,,42.800,2,1,42.800,
EPS020 - CAPRECOM,2011,23 - Córdoba,1,4,15.110,91.066,5,4,91.066,
EPS016 - COOMEVA,2011,23 - Córdoba,1,23,210.074,7.991.319,420,151,4.866.527,179.000
EPS014 - HUMANA VIVIR,2011,23 - Córdoba,1,2,,113.110,8,5,164.910,51.800
EPS013 - SALUDCOOP,2011,23 - Córdoba,1,31,49.736.307,11.295.010,3.039,660,11.295.010,
EPS003 - CAFESALUD,2011,23 - Córdoba,1,1,,15.504,1,1,15.504,
EPS002 - SALUD TOTAL,2011,23 - Córdoba,1,1,,1.080.786,78,32,1.080.786,
EPS001 - ALIANSALUD,2011,23 - Córdoba,1,4,,13.886,9,4,13.886,
EMP017 - EMP COLMENA S.A,2011,23 - Córdoba,1,14,,697.700,30,19,707.600,
CCF015 - COMFACOR,2011,23 - Córdoba,1,18,,4.969.734,233,169,4.969.732,
RES002 - ECOPETROL,2011,25 - Cundinamarca,1,3,,145.659,9,4,145.659,
ESS133 - COMPARTA,2011,25 - Cundinamarca,1,7,,570.800,75,54,573.600,2.800
ESS091 -  ECOOPSOS,2011,25 - Cundinamarca,1,33,84.400,2.480.275,179,110,2.494.955,14.680
ESS062 - ASMET SALUD,2011,25 - Cundinamarca,1,1,,35.200,1,1,35.200,
EPSS14 - HUMANA VIVIR,2011,25 - Cundinamarca,1,5,,55.040,43,23,55.040,
EPSS03 - CAFESALUD,2011,25 - Cundinamarca,1,7,,336.732,22,14,336.732,
EPS037 - NUEVA EPS,2011,25 - Cundinamarca,1,42,3.153.995,5.138.545,474,206,5.552.645,414.100
EPS033 - SALUDVIDA,2011,25 - Cundinamarca,1,7,,121.088,17,15,125.968,6.980
EPS026 - SOLSALUD,2011,25 - Cundinamarca,1,4,,57.700,4,4,59.800,2.100
EPS023 - CRUZ BLANCA,2011,25 - Cundinamarca,1,21,7.026.695,889.200,342,52,889.200,
EPS020 - CAPRECOM,2011,25 - Cundinamarca,1,7,174.386,59.612,10,10,59.612,
EPS018 - SOS,2011,25 - Cundinamarca,1,1,,27.900,1,1,30.000,2.100
EPS017 - FAMISANAR,2011,25 - Cundinamarca,1,122,31.717.159,54.061.007,4.251,1.037,58.465.183,4.404.176
EPS016 - COOMEVA,2011,25 - Cundinamarca,1,22,1.332.298,3.783.927,608,103,4.363.227,702.100
EPS015 - COLPATRIA,2011,25 - Cundinamarca,1,1,,,4,1,,
EPS014 - HUMANA VIVIR,2011,25 - Cundinamarca,1,9,,299.778,47,34,314.478,14.700
EPS013 - SALUDCOOP,2011,25 - Cundinamarca,1,62,102.025.676,14.790.672,4.641,792,14.790.672,
EPS010 - EPS SURA,2011,25 - Cundinamarca,1,22,9.319.628,3.577.544,484,59,3.612.690,691.600
EPS008 - COMPENSAR,2011,25 - Cundinamarca,1,1,,20.463,1,1,20.463,
EPS005 - SANITAS,2011,25 - Cundinamarca,1,18,324.012,3.409.765,303,92,3.491.465,81.700
EPS003 - CAFESALUD,2011,25 - Cundinamarca,1,31,12.155.603,789.672,454,53,789.672,
EPS002 - SALUD TOTAL,2011,25 - Cundinamarca,1,19,,3.033.235,254,118,3.033.235,
EPS001 - ALIANSALUD,2011,25 - Cundinamarca,1,10,,397.720,55,18,399.820,2.100
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2011,25 - Cundinamarca,1,9,,1.770.220,42,32,1.770.220,
EMP017 - EMP COLMENA S.A,2011,25 - Cundinamarca,1,17,,1.833.800,84,33,1.833.300,
EMP002 - EMP CAFESALUD,2011,25 - Cundinamarca,1,8,787.853,180.850,39,12,354.450,173.600
EAS027 - FERROCARRILES NALES,2011,25 - Cundinamarca,1,3,,541.830,22,15,541.830,
CCF101 - COLSUBSIDIO,2011,25 - Cundinamarca,1,12,793.236,1.987.180,130,98,1.602.880,
CCF018 - CAFAM,2011,25 - Cundinamarca,1,24,,3.177.080,399,250,3.182.280,5.200
25000 - DIRECCION DEPARTAMENTAL DE SALUD DE CUND,2011,25 - Cundinamarca,1,19,,9.145.026,322,260,9.806.576,442.845
13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS,2011,25 - Cundinamarca,1,1,,71.800,2,1,71.800,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2011,25 - Cundinamarca,1,1,,111.240,4,1,123.600,12.360
ESS133 - COMPARTA,2011,27 - Chocó,1,1,,124.200,5,4,124.200,
ESS076 - AMBUQ,2011,27 - Chocó,1,1,,24.875,1,1,24.875,
EPS037 - NUEVA EPS,2011,27 - Chocó,1,2,,128.500,2,2,130.600,2.100
EPS020 - CAPRECOM,2011,27 - Chocó,1,3,987.000,56.725,17,17,56.725,
EPS016 - COOMEVA,2011,27 - Chocó,1,7,80.216,337.974,17,7,288.802,12.600
EPS013 - SALUDCOOP,2011,27 - Chocó,1,5,1.560.554,192.892,99,20,192.892,
EPS005 - SANITAS,2011,27 - Chocó,1,1,,176.000,6,1,176.000,
RES002 - ECOPETROL,2011,41 - Huila,1,4,,419.000,24,8,419.000,
ESS133 - COMPARTA,2011,41 - Huila,1,10,,550.847,28,19,535.847,
ESS091 -  ECOOPSOS,2011,41 - Huila,1,12,,1.595.600,90,45,1.595.600,
ESS062 - ASMET SALUD,2011,41 - Huila,1,26,1.445.100,6.567.415,338,180,6.576.685,
EPSS26 - SOLSALUD,2011,41 - Huila,1,1,51.800,,5,1,,
EPSS03 - CAFESALUD,2011,41 - Huila,1,2,,196.281,4,3,196.281,
EPSI03 -  AIC-EPSI-I,2011,41 - Huila,1,2,,77.550,3,3,77.550,
EPS037 - NUEVA EPS,2011,41 - Huila,1,17,3.252.736,2.361.278,187,94,2.503.458,162.980
EPS026 - SOLSALUD,2011,41 - Huila,1,4,,199.200,11,8,199.200,
EPS023 - CRUZ BLANCA,2011,41 - Huila,1,1,,26.900,1,1,26.900,
EPS020 - CAPRECOM,2011,41 - Huila,1,13,176.348,336.186,34,17,336.186,
